file,line,type,string
Screens/03_VPNScreen.swift,483,Text,2.4 GB
Screens/03_VPNScreen.swift,1012,Text,2.4 GB
Screens/03_VPNScreen.swift,1030,Text,1.2 GB
Screens/07_ParentalControlScreen.swift,81,Label,Фон экрана родительского контроля
Screens/07_ParentalControlScreen.swift,108,Label,Карточки родительского контроля
Screens/07_ParentalControlScreen.swift,206,Label,Навигационная панель родительского контроля
Screens/09_ElderlyInterfaceScreen.swift,407,Text,👨‍👩‍👧‍👦 Моя семья
Screens/09_ElderlyInterfaceScreen.swift,971,Text,⚙️ Настройки интерфейса
Screens/09_ElderlyInterfaceScreen.swift,977,Text,📝 Размер шрифта
Screens/09_ElderlyInterfaceScreen.swift,982,Text,Маленький
Screens/09_ElderlyInterfaceScreen.swift,989,Text,Большой
Screens/09_ElderlyInterfaceScreen.swift,1004,Text,🔊 Звуки и уведомления
Screens/09_ElderlyInterfaceScreen.swift,1009,Text,🔊 Звуки
Screens/09_ElderlyInterfaceScreen.swift,1021,Text,📳 Вибрация
Screens/09_ElderlyInterfaceScreen.swift,1038,Text,🚨 Экстренные вызовы
Screens/09_ElderlyInterfaceScreen.swift,1043,Text,📞 Автоматический звонок
Screens/09_ElderlyInterfaceScreen.swift,1054,Text,При включении: автоматически звонить детям при нажатии SOS
Screens/09_ElderlyInterfaceScreen.swift,1064,Text,👨‍👩‍👧‍👦 Управление семьей
Screens/09_ElderlyInterfaceScreen.swift,1074,Text,Добавить номер телефона
Screens/09_ElderlyInterfaceScreen.swift,1091,Text,Редактировать контакты
Screens/09_ElderlyInterfaceScreen.swift,1113,Text,Сбросить настройки
Screens/09_ElderlyInterfaceScreen.swift,1127,Button,Готово
Screens/09_ElderlyInterfaceScreen.swift,1155,Text,📞 Добавить номер телефона
Screens/09_ElderlyInterfaceScreen.swift,1161,Text,Имя контакта
Screens/09_ElderlyInterfaceScreen.swift,1165,TextField,Введите имя
Screens/09_ElderlyInterfaceScreen.swift,1170,Text,Номер телефона
Screens/09_ElderlyInterfaceScreen.swift,1180,Text,Родство
Screens/09_ElderlyInterfaceScreen.swift,1201,Text,Сохранить контакт
Screens/09_ElderlyInterfaceScreen.swift,1217,Button,Отмена
Screens/09_ElderlyInterfaceScreen.swift,1239,Text,📋 Редактировать контакты
Screens/09_ElderlyInterfaceScreen.swift,1290,Button,Отмена
Screens/09_ElderlyInterfaceScreen.swift,1295,Button,Готово
Screens/09_ElderlyInterfaceScreen.swift,1320,Text,🛡️ Статус безопасности
Screens/09_ElderlyInterfaceScreen.swift,1329,Text,ВСЁ ХОРОШО
Screens/09_ElderlyInterfaceScreen.swift,1333,Text,Угроз не обнаружено
Screens/09_ElderlyInterfaceScreen.swift,1349,Text,📊 Детальная информация:
Screens/09_ElderlyInterfaceScreen.swift,1364,Text,🕐 Последняя проверка:
Screens/09_ElderlyInterfaceScreen.swift,1368,Text,Сегодня в 14:30
Screens/09_ElderlyInterfaceScreen.swift,1372,Text,Следующая проверка: через 2 часа
Screens/09_ElderlyInterfaceScreen.swift,1385,Button,Готово
Screens/09_ElderlyInterfaceScreen.swift,1474,Text,📖 Инструкции по безопасности
Screens/09_ElderlyInterfaceScreen.swift,1480,Text,🛡️ Защита от мошенников
Screens/09_ElderlyInterfaceScreen.swift,1484,Text,"❌ НЕ ВЕРИТЕ звонкам от: Сотрудников ФСБ, Прокуратуры, Начальства, Банков, Соцсетей"
Screens/09_ElderlyInterfaceScreen.swift,1489,Text,✅ ПРАВИЛЬНО:
Screens/09_ElderlyInterfaceScreen.swift,1494,Text,• Никогда не называйте пароли\n• Не переводите деньги\n• Не устанавливайте программы\n• Сразу кладите трубку
Screens/09_ElderlyInterfaceScreen.swift,1504,Text,🎭 Социальная инженерия
Screens/09_ElderlyInterfaceScreen.swift,1508,Text,"Мошенники могут: Называть ваше имя, знать адрес, говорить о ваших детях, требовать срочности"
Screens/09_ElderlyInterfaceScreen.swift,1513,Text,⚠️ ВНИМАНИЕ:
Screens/09_ElderlyInterfaceScreen.swift,1518,Text,"Это НЕ означает, что они настоящие!"
Screens/09_ElderlyInterfaceScreen.swift,1528,Text,🔗 Опасные ссылки
Screens/09_ElderlyInterfaceScreen.swift,1532,Text,"❌ НЕ НАЖИМАЙТЕ на: Ссылки в SMS, WhatsApp, письмах, неизвестные сайты"
Screens/09_ElderlyInterfaceScreen.swift,1537,Text,✅ ПРАВИЛЬНО:
