path,files_total,lines_total,python_files,python_lines,swift_files,swift_lines,shell_files,shell_lines,other_files,other_lines
.,527,85828,287,58653,14,3825,225,23323,1,27
app/security/ai_agents,85,79404,85,79404,0,0,0,0,0,0
Screens,67,52284,0,0,67,52284,0,0,0,0
app/security,72,46318,72,46318,0,0,0,0,0,0
Core/Localization,9,42404,0,0,9,42404,0,0,0,0
app/security/bots,22,26278,22,26278,0,0,0,0,0,0
app/security/managers,24,19809,24,19809,0,0,0,0,0,0
security/api/routers,33,17878,33,17878,0,0,0,0,0,0
LocalizedVersions/English,16,17780,0,0,16,17780,0,0,0,0
app/security/api/routers,31,14180,31,14180,0,0,0,0,0,0
docs/server,71,13150,38,8417,0,0,30,4236,3,497
app/security/active,7,12197,7,12197,0,0,0,0,0,0
app/security/family,18,12189,18,12189,0,0,0,0,0,0
app/security/vpn,33,11996,30,11889,0,0,3,107,0,0
app/security/microservices,17,11964,17,11964,0,0,0,0,0,0
ViewModels,32,10540,0,0,32,10540,0,0,0,0
Shared/Components/Modals,32,9580,0,0,32,9580,0,0,0,0
security/ai_agents,13,9401,13,9401,0,0,0,0,0,0
app/routers,23,8834,23,8834,0,0,0,0,0,0
Core/Network,9,7783,0,0,9,7783,0,0,0,0
Core/Managers,17,7232,0,0,17,7232,0,0,0,0
Core/Models,11,6794,0,0,11,6794,0,0,0,0
backend_tests,18,5441,18,5441,0,0,0,0,0,0
app/security/bots/components,8,4835,8,4835,0,0,0,0,0,0
tools,39,4126,35,4021,0,0,4,105,0,0
docs/AppStore,19,4093,16,3870,0,0,3,223,0,0
Tests/Integration,12,3779,0,0,12,3779,0,0,0,0
Tests/UnitTests,17,3616,0,0,17,3616,0,0,0,0
landing,51,3304,0,0,0,0,51,3304,0,0
security/services/ai_platform,35,3234,35,3234,0,0,0,0,0,0
Screens/Views,11,3120,0,0,11,3120,0,0,0,0
Tests/UITests,11,2844,0,0,11,2844,0,0,0,0
app/security/vpn/protection,5,2568,5,2568,0,0,0,0,0,0
payment_service,28,2568,1,995,0,0,27,1573,0,0
Shared/Components,24,2378,0,0,24,2378,0,0,0,0
security/services,20,2343,20,2343,0,0,0,0,0,0
scripts,28,2241,13,746,2,113,13,1382,0,0
security/bots,2,1981,2,1981,0,0,0,0,0,0
app/security/vpn/web,6,1933,6,1933,0,0,0,0,0,0
Shared/Models,9,1898,0,0,9,1898,0,0,0,0
app/security/vpn/features,4,1886,4,1886,0,0,0,0,0,0
Components,11,1882,0,0,11,1882,0,0,0,0
app/security/vpn/performance,5,1844,5,1844,0,0,0,0,0,0
app/database/migrations,13,1647,5,970,0,0,5,452,3,225
Core/Services,8,1581,0,0,8,1581,0,0,0,0
Core/Analytics,5,1565,0,0,5,1565,0,0,0,0
app/security/vpn/protocols,5,1523,5,1523,0,0,0,0,0,0
app/security/vpn/compliance,5,1522,5,1522,0,0,0,0,0,0
payment_service/app,13,1520,13,1520,0,0,0,0,0,0
Core/Utilities,5,1497,0,0,5,1497,0,0,0,0
app/security/compliance,3,1451,3,1451,0,0,0,0,0,0
Components/Modals,9,1437,0,0,9,1437,0,0,0,0
Core/Antivirus,4,1264,0,0,4,1264,0,0,0,0
Core/Monitoring,3,1244,0,0,3,1244,0,0,0,0
app/security/vpn/analytics,2,1229,2,1229,0,0,0,0,0,0
app/security/vpn/tests/unit,3,1226,3,1226,0,0,0,0,0,0
app/security/vpn/api,2,1073,2,1073,0,0,0,0,0,0
Core/Notifications,3,1069,0,0,3,1069,0,0,0,0
Core/Cache,2,1045,0,0,2,1045,0,0,0,0
~/Desktop/ALADDIN_Profiles,11,981,0,0,0,0,11,981,0,0
app/security/vpn/encryption,1,951,1,951,0,0,0,0,0,0
Core/Navigation,2,933,0,0,2,933,0,0,0,0
Core/Security,4,921,0,0,4,921,0,0,0,0
app/security/antivirus/ml,2,917,2,917,0,0,0,0,0,0
security/antivirus/ml,2,916,2,916,0,0,0,0,0,0
Core/Offline,2,901,0,0,2,901,0,0,0,0
docs/server/server_snapshots/20260317_payments,2,887,2,887,0,0,0,0,0,0
app/security/api/routers/tests,3,835,3,835,0,0,0,0,0,0
security/api/routers/tests,3,835,3,835,0,0,0,0,0,0
Shared/Components/Chat,8,829,0,0,8,829,0,0,0,0
app/security/vpn/client,2,812,2,812,0,0,0,0,0,0
Core/Validation,2,807,0,0,2,807,0,0,0,0
app/security/vpn/validators,2,799,2,799,0,0,0,0,0,0
Shared/Components/Cards,5,790,0,0,5,790,0,0,0,0
backend/app/services,4,758,4,758,0,0,0,0,0,0
