component,function,endpoint,method,db_table,access_mode,retention,owner,status
other,root__get,/,GET,TBD,RO,TBD,backend-unknown,unmapped
payments,retrieve_activation_code_api_activation_retrieve_post,/api/activation/retrieve,POST,TBD,RW,TBD,backend-unknown,unmapped
AI Categories,set_age_restriction_api_ai_categories_age_restriction_post,/api/ai-categories/age-restriction,POST,TBD,RW,TBD,backend-unknown,unmapped
AI Categories,allow_sites_api_ai_categories_allow_post,/api/ai-categories/allow,POST,TBD,RW,TBD,backend-unknown,unmapped
AI Categories,block_sites_api_ai_categories_block_post,/api/ai-categories/block,POST,TBD,RW,TBD,backend-unknown,unmapped
AI Categories,check_access_api_ai_categories_check_post,/api/ai-categories/check,POST,TBD,RW,TBD,backend-unknown,unmapped
AI Categories,health_check_api_ai_categories_health_get,/api/ai-categories/health,GET,TBD,RO,TBD,backend-unknown,unmapped
AI Categories,get_access_history_api_ai_categories_history_get,/api/ai-categories/history,GET,TBD,RO,TBD,backend-unknown,unmapped
AI Categories,get_sites_api_ai_categories_sites_get,/api/ai-categories/sites,GET,TBD,RO,TBD,backend-unknown,unmapped
AI Categories,get_status_api_ai_categories_status_get,/api/ai-categories/status,GET,TBD,RO,TBD,backend-unknown,unmapped
AI Assistant,ai_assistant_analyze_threat_api_ai_assistant_analyze_threat_post,/api/ai/assistant/analyze_threat,POST,TBD,RW,TBD,backend-unknown,unmapped
AI Assistant,ai_assistant_capabilities_api_ai_assistant_capabilities_get,/api/ai/assistant/capabilities,GET,TBD,RO,TBD,backend-unknown,unmapped
AI Assistant,ai_assistant_chat_api_ai_assistant_chat_post,/api/ai/assistant/chat,POST,TBD,RW,TBD,backend-unknown,unmapped
AI Assistant,ai_assistant_feedback_api_ai_assistant_feedback_post,/api/ai/assistant/feedback,POST,TBD,RW,TBD,backend-unknown,unmapped
AI Assistant,ai_assistant_history_api_ai_assistant_history_get,/api/ai/assistant/history,GET,TBD,RO,TBD,backend-unknown,unmapped
AI Assistant,ai_assistant_recommendations_api_ai_assistant_recommendations_get,/api/ai/assistant/recommendations,GET,TBD,RO,TBD,backend-unknown,unmapped
AI Assistant,ai_assistant_report_incident_api_ai_assistant_report_incident_post,/api/ai/assistant/report_incident,POST,TBD,RW,TBD,backend-unknown,unmapped
AI Assistant,ai_assistant_security_tips_api_ai_assistant_security_tips_get,/api/ai/assistant/security_tips,GET,TBD,RO,TBD,backend-unknown,unmapped
system-ai-compat,ai_chat_compat_api_ai_chat_get,/api/ai/chat,GET,TBD,RO,TBD,backend-unknown,unmapped
system-ai-compat,ai_message_compat_api_ai_message_get,/api/ai/message,GET,TBD,RO,TBD,backend-unknown,unmapped
analytics,get_analytics_api_analytics_get,/api/analytics,GET,TBD,RO,TBD,backend-unknown,unmapped
analytics,get_analytics_threats_api_analytics_threats_get,/api/analytics/threats,GET,TBD,RO,TBD,backend-unknown,unmapped
analytics,get_analytics_top_threats_api_analytics_top_threats_get,/api/analytics/top-threats,GET,TBD,RO,TBD,backend-unknown,unmapped
