method,endpoint,source_file,handler,should_write_db,writes_db_detected,gap,should_write_reason,writes_db_reason
POST,/api/parental-control/app-blocks/sync,parental_control_sync_router.py,sync_app_blocks,True,False,True,post_mutation_keyword,
POST,/api/parental-control/app-blocks/update,parental_control_sync_router.py,update_app_blocks,True,False,True,post_mutation_keyword,
POST,/api/parental-control/geofences/add,parental_control_sync_router.py,add_geofence,True,False,True,post_default_mutation_policy,
POST,/api/parental-control/geofences/update,parental_control_sync_router.py,update_geofence,True,False,True,post_mutation_keyword,
DELETE,/api/parental-control/geofences/{geofenceId},parental_control_sync_router.py,delete_geofence,True,False,True,method_requires_mutation,
POST,/api/parental-control/schedules/delete,parental_control_sync_router.py,delete_schedule,True,False,True,post_mutation_keyword,
POST,/api/parental-control/schedules/update,parental_control_sync_router.py,update_schedule,True,False,True,post_mutation_keyword,
POST,/api/parental-control/settings/sync,parental_control_sync_router.py,sync_parental_control_settings,True,False,True,post_mutation_keyword,
POST,/api/parental-control/settings/update,parental_control_sync_router.py,update_parental_control_settings,True,False,True,post_mutation_keyword,
POST,/api/parental-control/time-limits/reset,parental_control_sync_router.py,reset_time_limits,True,False,True,post_mutation_keyword,
POST,/api/parental-control/time-limits/update,parental_control_sync_router.py,update_time_limits,True,False,True,post_mutation_keyword,
POST,/api/reports/dark-web/scan/fast,app/security/api/routers/dark_web_monitoring_router.py,start_fast_scan,True,False,True,post_mutation_keyword,
POST,/api/reports/dark-web/scan/secure,app/security/api/routers/dark_web_monitoring_router.py,start_secure_scan,True,False,True,post_mutation_keyword,
POST,/api/reports/privacy/location/update-accuracy,app/security/api/routers/location_bubble_router.py,update_accuracy,True,False,True,post_mutation_keyword,
