method,endpoint,source_file,handler,should_write_db,should_write_reason,writes_db_detected,writes_db_reason,gap
POST,/api/activation/retrieve,app/routers/payments.py,retrieve_activation_code,True,post_default_mutation_policy,False,,True
POST,/api/ai-categories/age-restriction,security/api/routers/ai_categories_router.py,set_age_restriction,True,post_default_mutation_policy,False,,True
POST,/api/ai-categories/allow,security/api/routers/ai_categories_router.py,allow_sites,True,post_mutation_keyword,False,,True
POST,/api/ai-categories/block,security/api/routers/ai_categories_router.py,block_sites,True,post_mutation_keyword,False,,True
POST,/api/ai-categories/check,security/api/routers/ai_categories_router.py,check_access,True,post_default_mutation_policy,False,,True
POST,/api/ai/assistant/analyze_threat,ai_assistant_router.py,ai_assistant_analyze_threat,True,post_default_mutation_policy,False,,True
POST,/api/ai/assistant/chat,ai_assistant_router.py,ai_assistant_chat,True,post_default_mutation_policy,False,,True
POST,/api/ai/assistant/feedback,ai_assistant_router.py,ai_assistant_feedback,True,post_default_mutation_policy,False,,True
POST,/api/ai/assistant/report_incident,ai_assistant_router.py,ai_assistant_report_incident,True,post_mutation_keyword,False,,True
POST,/api/anti-tracker/block,security/api/routers/anti_tracker_router.py,block_tracker,True,post_mutation_keyword,False,,True
POST,/api/anti-tracker/check,security/api/routers/anti_tracker_router.py,check_request,True,post_default_mutation_policy,False,,True
POST,/api/anti-tracker/settings,security/api/routers/anti_tracker_router.py,update_settings,True,post_mutation_keyword,False,,True
POST,/api/anti-tracker/unblock,security/api/routers/anti_tracker_router.py,unblock_tracker,True,post_mutation_keyword,False,,True
POST,/api/auth/register-device,backend/app/routers/subscription.py,register_device,True,post_default_mutation_policy,False,,True
POST,/api/auth/register-device-trial,backend/app/routers/subscription.py,register_device_with_trial,True,post_default_mutation_policy,False,,True
POST,/api/chat/offline-messages/resolve-conflicts,other_functions_sync_router.py,resolve_message_conflicts,True,post_mutation_keyword,False,,True
POST,/api/chat/offline-messages/send,other_functions_sync_router.py,send_offline_message,True,post_mutation_keyword,False,,True
POST,/api/chat/offline-messages/sync,other_functions_sync_router.py,sync_offline_messages,True,post_mutation_keyword,False,,True
POST,/api/components/batch/status,app/routers/components.py,get_batch_component_status,False,post_non_mutation_semantics,False,,False
