component,function,method,endpoint,mutating_candidate,business_decision,business_source,static_should_write_db,static_writes_db_detected,sql_before_after_covered,contract_pass
AI Assistant,ai_assistant_analyze_threat_api_ai_assistant_analyze_threat_post,POST,/api/ai/assistant/analyze_threat,true,unknown,business_registry,true,false,false,true
AI Assistant,ai_assistant_capabilities_api_ai_assistant_capabilities_get,GET,/api/ai/assistant/capabilities,false,not_classified,none,,,false,true
AI Assistant,ai_assistant_chat_api_ai_assistant_chat_post,POST,/api/ai/assistant/chat,true,unknown,business_registry,true,false,false,true
AI Assistant,ai_assistant_feedback_api_ai_assistant_feedback_post,POST,/api/ai/assistant/feedback,true,unknown,business_registry,true,false,false,true
AI Assistant,ai_assistant_history_api_ai_assistant_history_get,GET,/api/ai/assistant/history,false,not_classified,none,,,false,true
AI Assistant,ai_assistant_recommendations_api_ai_assistant_recommendations_get,GET,/api/ai/assistant/recommendations,false,not_classified,none,,,false,true
AI Assistant,ai_assistant_report_incident_api_ai_assistant_report_incident_post,POST,/api/ai/assistant/report_incident,true,unknown,business_registry,true,false,false,true
AI Assistant,ai_assistant_security_tips_api_ai_assistant_security_tips_get,GET,/api/ai/assistant/security_tips,false,not_classified,none,,,false,true
AI Categories,allow_sites_api_ai_categories_allow_post,POST,/api/ai-categories/allow,true,must_not_write_db,business_registry,true,false,false,true
AI Categories,block_sites_api_ai_categories_block_post,POST,/api/ai-categories/block,true,must_not_write_db,business_registry,true,false,false,true
AI Categories,check_access_api_ai_categories_check_post,POST,/api/ai-categories/check,true,must_not_write_db,business_registry,true,false,false,true
AI Categories,get_access_history_api_ai_categories_history_get,GET,/api/ai-categories/history,false,not_classified,none,,,false,true
AI Categories,get_sites_api_ai_categories_sites_get,GET,/api/ai-categories/sites,false,not_classified,none,,,false,true
AI Categories,get_status_api_ai_categories_status_get,GET,/api/ai-categories/status,false,not_classified,none,,,false,true
AI Categories,health_check_api_ai_categories_health_get,GET,/api/ai-categories/health,false,not_classified,none,,,false,true
AI Categories,set_age_restriction_api_ai_categories_age_restriction_post,POST,/api/ai-categories/age-restriction,true,must_not_write_db,business_registry,true,false,false,true
Components,disable_component_api_components_disable__component_id__post,POST,/api/components/disable/{component_id},true,not_classified,none,true,false,false,true
Components,enable_component_api_components_enable__component_id__post,POST,/api/components/enable/{component_id},true,not_classified,none,true,false,false,true
Components,get_all_components_status_api_components_status_all_get,GET,/api/components/status/all,false,not_classified,none,,,false,true
