component,function,endpoint,method,auth,expected,dto,db_source,status
unclassified,root__get,/,GET,unknown,Root,unknown,unknown,to_verify
payments,retrieve_activation_code_api_activation_retrieve_post,/api/activation/retrieve,POST,unknown,Retrieve Activation Code,unknown,unknown,to_verify
AI Categories,set_age_restriction_api_ai_categories_age_restriction_post,/api/ai-categories/age-restriction,POST,unknown,Установить ограничение по возрасту,unknown,unknown,to_verify
AI Categories,allow_sites_api_ai_categories_allow_post,/api/ai-categories/allow,POST,unknown,Разрешить доступ к AI-сайтам,unknown,unknown,to_verify
AI Categories,block_sites_api_ai_categories_block_post,/api/ai-categories/block,POST,unknown,Заблокировать AI-сайты,unknown,unknown,to_verify
AI Categories,check_access_api_ai_categories_check_post,/api/ai-categories/check,POST,unknown,Проверить доступ к AI-сайту,unknown,unknown,to_verify
AI Categories,health_check_api_ai_categories_health_get,/api/ai-categories/health,GET,unknown,Health check,unknown,unknown,to_verify
AI Categories,get_access_history_api_ai_categories_history_get,/api/ai-categories/history,GET,unknown,Получить историю попыток доступа,unknown,unknown,to_verify
AI Categories,get_sites_api_ai_categories_sites_get,/api/ai-categories/sites,GET,unknown,Получить список всех AI-сайтов,unknown,unknown,to_verify
AI Categories,get_status_api_ai_categories_status_get,/api/ai-categories/status,GET,unknown,Получить статус всех AI-сайтов для пользователя,unknown,unknown,to_verify
AI Assistant,ai_assistant_analyze_threat_api_ai_assistant_analyze_threat_post,/api/ai/assistant/analyze_threat,POST,unknown,Ai Assistant Analyze Threat,unknown,unknown,to_verify
AI Assistant,ai_assistant_capabilities_api_ai_assistant_capabilities_get,/api/ai/assistant/capabilities,GET,unknown,Ai Assistant Capabilities,unknown,unknown,to_verify
AI Assistant,ai_assistant_chat_api_ai_assistant_chat_post,/api/ai/assistant/chat,POST,unknown,Ai Assistant Chat,unknown,unknown,to_verify
AI Assistant,ai_assistant_feedback_api_ai_assistant_feedback_post,/api/ai/assistant/feedback,POST,unknown,Ai Assistant Feedback,unknown,unknown,to_verify
AI Assistant,ai_assistant_history_api_ai_assistant_history_get,/api/ai/assistant/history,GET,unknown,Ai Assistant History,unknown,unknown,to_verify
AI Assistant,ai_assistant_recommendations_api_ai_assistant_recommendations_get,/api/ai/assistant/recommendations,GET,unknown,Ai Assistant Recommendations,unknown,unknown,to_verify
AI Assistant,ai_assistant_report_incident_api_ai_assistant_report_incident_post,/api/ai/assistant/report_incident,POST,unknown,Ai Assistant Report Incident,unknown,unknown,to_verify
AI Assistant,ai_assistant_security_tips_api_ai_assistant_security_tips_get,/api/ai/assistant/security_tips,GET,unknown,Ai Assistant Security Tips,unknown,unknown,to_verify
system-ai-compat,ai_chat_compat_api_ai_chat_get,/api/ai/chat,GET,unknown,Ai Chat Compat,unknown,unknown,to_verify
system-ai-compat,ai_message_compat_api_ai_message_get,/api/ai/message,GET,unknown,Ai Message Compat,unknown,unknown,to_verify
analytics,get_analytics_api_analytics_get,/api/analytics,GET,unknown,Get Analytics,unknown,unknown,to_verify
analytics,get_analytics_threats_api_analytics_threats_get,/api/analytics/threats,GET,unknown,Get Analytics Threats,unknown,unknown,to_verify
analytics,get_analytics_top_threats_api_analytics_top_threats_get,/api/analytics/top-threats,GET,unknown,Get Analytics Top Threats,unknown,unknown,to_verify
anti-tracker,block_tracker_api_anti_tracker_block_post,/api/anti-tracker/block,POST,unknown,Блокировка трекера,unknown,unknown,to_verify
anti-tracker,check_request_api_anti_tracker_check_post,/api/anti-tracker/check,POST,unknown,Проверка URL на трекеры,unknown,unknown,to_verify
